model,corpus_unit,role_scope,k,term,coef_log_odds_per_sd,std_error,odds_ratio_per_sd,ci_lower,ci_upper,or_ci_lower,or_ci_upper,p_value,n_observations,n_scenarios,converged,q_value
DeepSeek,publication,direct_partial_only,50,z_propagation_node_k50,0.08901690288167448,0.07467448855143212,1.0930991326954762,-0.057342405243081054,0.23537621100643003,0.9442706907710118,1.2653847308593005,0.23323545124277512,1276,319,True,
DeepSeek,publication,direct_partial_only,50,z_other_k50,0.0365384501059058,0.09766859203280526,1.0372141842462765,-0.15488847269912814,0.22796537291093977,0.856510696483173,1.2560418316069497,0.7083251211904358,1276,319,True,
KimiMV,publication,direct_partial_only,50,z_safety_barrier_k50,-0.12346111911986321,0.10549367132703168,0.8838560056754293,-0.33022491551775107,0.08330267727802465,0.7187620545109284,1.0868707298412992,0.2418731097613973,1232,308,True,
KimiMV,publication,direct_partial_only,50,z_propagation_node_k50,0.06955008457219895,0.09842267944880036,1.0720257518113898,-0.1233548224093803,0.2624549915537782,0.8839499616548905,1.3001179505627478,0.4797859151255238,1232,308,True,
KimiMV,publication,direct_partial_only,50,z_other_k50,-0.057397024985415476,0.09789609761118073,0.9442191163576913,-0.24926985053034734,0.13447580055951636,0.7793696316971187,1.1439369760326719,0.5576702045906687,1232,308,True,
DeepSeek,family,direct_partial_only,50,z_safety_barrier_k50,-0.2153123616529634,0.08445215234431347,0.8062895469028375,-0.3808355386647077,-0.04978918464121912,0.6832902552075127,0.9514299794124081,0.010787165253957303,1276,319,True,
DeepSeek,family,direct_partial_only,50,z_propagation_node_k50,-0.029504179268776656,0.08558810574420833,0.9709268198685723,-0.1972537840324307,0.1382454254948774,0.8209822546850442,1.1482573273179326,0.7303027071071673,1276,319,True,
DeepSeek,family,direct_partial_only,50,z_other_k50,0.03633903598560487,0.08332844224417686,1.0370073697137159,-0.12698170970080777,0.1996597816720175,0.8807497816268565,1.2209872852357548,0.662768510258033,1276,319,True,
KimiMV,family,direct_partial_only,50,z_safety_barrier_k50,-0.07949496988106414,0.1033962268524253,0.9235826656875776,-0.28214785064915093,0.12315791088702269,0.7541621729229283,1.1310630140100446,0.44198936305093206,1232,308,True,
KimiMV,family,direct_partial_only,50,z_propagation_node_k50,0.04677085815692909,0.09637351833971988,1.0478818679849693,-0.14211776685233224,0.23565948316619045,0.8675190854778182,1.2657432298989402,0.6274577437613127,1232,308,True,
KimiMV,family,direct_partial_only,50,z_other_k50,0.019828524874922315,0.09617378010665564,1.0200264158723695,-0.16866862039119745,0.20832567014104209,0.8447888027899848,1.2316142042144111,0.8366550620329847,1232,308,True,
