condition,speed_mps,delay_ms,offset_m,rescue_c1,rescue_c2,n,n_propagated,rate,wilson_lo,wilson_hi,local_pass_rate,min_margin_median_m,min_margin_p05_m,stop_latency_median_s,peak_force_median_n,peak_force_max_n,n_contained,n_ordinary_failure,n_breach_unordered,n_unresolved
C4,0.3,50,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-2.0899999999999856,0.0,0.0,50,0,0,0
C4,0.3,75,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-2.059999999999986,0.0,0.0,50,0,0,0
C4,0.3,100,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-2.039999999999986,0.0,0.0,50,0,0,0
C4,0.3,150,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.5990620588494783,0.5815393822657817,-1.9899999999999856,0.0,0.0,50,0,0,0
C4,0.3,200,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.5952797427102349,0.5777832018403727,-1.9399999999999855,0.0,0.0,50,0,0,0
C4,0.45,0,-0.06,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.014615079907415507,0.009295541047856648,0.0,0.0,0.0,50,0,0,0
C4,0.45,0,-0.03,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.014615079907415507,0.009295541047856648,0.0,0.0,0.0,50,0,0,0
C4,0.45,0,0.03,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.04604648509397831,0.040569922269685574,-0.06000000000000005,0.0,0.0,50,0,0,0
C4,0.45,0,0.06,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.07536637199312046,0.07025040994033532,-0.14000000000000012,0.0,0.0,50,0,0,0
C4,0.45,25,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-1.500000000000001,0.0,0.0,50,0,0,0
C4,0.45,50,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-1.480000000000001,0.0,0.0,50,0,0,0
C4,0.45,75,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-1.450000000000001,0.0,0.0,50,0,0,0
C4,0.45,100,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-1.430000000000001,0.0,0.0,50,0,0,0
C4,0.45,150,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.5990620588494783,0.5815393822657817,-1.380000000000001,0.0,0.0,50,0,0,0
C4,0.45,200,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.5952797427102349,0.5777832018403727,-1.330000000000001,0.0,0.0,50,0,0,0
