"doc_id","dominant_topic","max_prob"
2248,3,0.957689225182062
2251,11,0.388255349046338
2258,9,0.44614343432004
2267,7,0.323179384103739
2271,4,0.617915900235521
2277,1,0.447892032880044
2282,5,0.842181367505156
2283,8,0.585052851011016
2284,2,0.273004954366431
2285,4,0.614744429054576
2293,4,0.380611922227011
2294,5,0.734690502724688
2300,7,0.563592307581526
2305,12,0.445656027407053
2306,12,0.732731035370023
2315,8,0.453699025639762
2317,6,0.702159593478281
2320,1,0.852799550935007
2321,5,0.947154231830774
2323,5,0.395059704266402
2324,9,0.258486490560841
2329,1,0.772317787421335
2333,5,0.282196884212102
2340,1,0.513631189150166
2347,1,0.857110186922764
2351,4,0.608718686498199
2353,4,0.356181655147351
2354,9,0.336105417124583
2357,9,0.235959666061729
2358,12,0.352036934316391
2364,1,0.698248731202605
2366,9,0.410138735485513
2372,11,0.80299715806842
2378,9,0.231867756451222
2381,12,0.410584930556498
2391,11,0.804554246018267
2392,5,0.572705856518781
2397,10,0.625406292480619
2400,3,0.400926666963528
2402,4,0.547131782207759
2406,5,0.541061293467817
2407,1,0.662519273745389
2413,5,0.880721831686187
2415,11,0.654092150349821
2417,4,0.508815989796968
2418,5,0.388902497106115
2421,5,0.893914875967215
2422,11,0.394378971228786
2424,12,0.407760645987883
2425,5,0.394586395155843
2430,4,0.552786228930374
2433,8,0.660908714825916
2434,11,0.665237571613123
2435,8,0.409046317340293
2438,11,0.77334012273748
2442,2,0.33703329193819
2446,6,0.331107792789408
2449,1,0.788582234440619
2452,5,0.428374866415798
2456,5,0.594947196531429
2457,11,0.390264978694201
2458,9,0.469391268231311
2464,11,0.627507322938953
2473,11,0.627507322938953
2476,7,0.644119823221917
2487,7,0.481443725286535
2493,11,0.608020825869876
2501,4,0.833644543574728
2508,5,0.88257956596702
2510,5,0.893302936036868
2513,4,0.319076982831254
2523,1,0.721593359200337
2526,4,0.290034699259762
2527,5,0.665965830252567
2528,5,0.602290118674881
2529,2,0.460679492445485
2531,4,0.609369783593001
2536,11,0.465127889949118
2539,6,0.50011864445885
2542,7,0.873832396243977
2543,9,0.534542775992115
2556,1,0.470083705829728
2557,4,0.6344799992177
2563,5,0.584944767706231
2567,5,0.89916739667817
2568,4,0.692971613468728
2571,4,0.327878823427781
2572,4,0.661208149471023
2575,8,0.32815582380666
2596,9,0.644842779774897
2598,11,0.804417439718905
2603,7,0.387871621323247
2609,5,0.533451163959908
2610,1,0.664489525203723
2612,5,0.660575149018315
2616,5,0.979355800869493
2628,11,0.392050215518765
2635,5,0.327199200880983
2637,6,0.501389340499312
2647,5,0.482703002921946
2648,4,0.860757640161143
2650,7,0.475976269533791
2651,7,0.426715948533232
