"topic","covariate","coefficient","std_error","t_value","p_value","ci_lower","ci_upper"
5,"C10_std",-0.00339826083830372,0.00856941561689868,-0.396556893751591,0.691737592045166,-0.020204427602273,0.0134079059256655
6,"C1_std",-0.0033387702721548,0.0233480541950863,-0.142999936708107,0.886304990240088,-0.0491285078644156,0.042450967320106
6,"C2_std",-0.00286165557213095,0.00482915318559319,-0.592579167020033,0.553531462194059,-0.0123324943543914,0.00660918321012951
6,"C3_std",-0.00359829403158603,0.003527104681446,-1.0201835093,0.3077678570897,-0.0105155812913456,0.00331899322817355
6,"C4_std",-0.00335916305231349,0.01666817447017,-0.201531550940097,0.840303959765589,-0.036048453935137,0.0293301278305101
6,"C5_std",0.0189550354345402,0.00740736617070033,2.55894402919035,0.0105738817877565,0.00442785683661063,0.0334822140324698
6,"C6_std",0.0003066161006297,0.0050273025013159,0.0609901832144462,0.951373270790336,-0.00955282916229151,0.0101660613635509
6,"C7_std",-0.0116594860173645,0.00540396655533418,-2.15757923332364,0.0310822248141724,-0.0222576373004886,-0.00106133473424037
6,"C8_std",0.00767973904830842,0.0185520819922803,0.413955643981308,0.678952069563057,-0.0287042336424608,0.0440637117390777
6,"C9_std",-0.00564776571421089,0.00435169082988881,-1.29783248281799,0.194498241787578,-0.0141822148600927,0.0028866834316709
6,"C10_std",-0.00148273833675141,0.00457375681733639,-0.324183903073121,0.745833540887233,-0.0104526988622295,0.00748722218872667
7,"C1_std",-0.0438030883635116,0.0369754119869481,-1.1846545044305,0.236298293494375,-0.1163185278987,0.0287123511716769
7,"C2_std",0.00723777682053846,0.00764774345191343,0.9463937782494,0.344064913233812,-0.00776082490061674,0.0222363785416937
7,"C3_std",0.0293493627504394,0.00558573950650696,5.25433789317415,1.64779113210156e-07,0.0183947219857497,0.0403040035151292
7,"C4_std",0.0256429375326346,0.0263967443691548,0.971443189130508,0.331447987152736,-0.0261258303421617,0.0774117054074309
7,"C5_std",0.0127006801156979,0.0117307598145574,1.08268179695716,0.27908340836137,-0.0103054517520046,0.0357068119834004
7,"C6_std",0.0154308683225571,0.00796154487290382,1.93817513672179,0.0527458844430565,-0.000183154478366438,0.0310448911234806
7,"C7_std",0.00296789619621086,0.00855805319268197,0.346795717365805,0.728782175614447,-0.013815986808309,0.0197517792007307
7,"C8_std",0.0152632534675955,0.0293802159763947,0.519507871550658,0.603465525413752,-0.0423566393389832,0.0728831462741741
7,"C9_std",-0.00680327977353701,0.00689160475346275,-0.987183684630003,0.323674944769802,-0.0203189573804979,0.00671239783342384
7,"C10_std",0.0102732584570224,0.00724328208406835,1.41831539042481,0.156258331252145,-0.00393212170720616,0.024478638621251
8,"C1_std",-0.0111754372728876,0.0204089669641559,-0.547574862192434,0.584046455950651,-0.0512010956857626,0.0288502211399874
8,"C2_std",-0.00332296941835621,0.00422125231533691,-0.787199904228183,0.431260420016093,-0.0116016051545487,0.00495566631783627
8,"C3_std",-0.000146325951050866,0.00308310758238262,-0.047460540101486,0.962151034355179,-0.0061928549674055,0.00590020306530376
8,"C4_std",0.00796738197004724,0.014569960274723,0.546836217794611,0.584553762272469,-0.0206069331371035,0.036541697077198
8,"C5_std",0.00467000698308222,0.00647491607677717,0.721245947855848,0.470844580092709,-0.00802846911305146,0.0173684830792159
8,"C6_std",-0.00386529635348438,0.00439445830521361,-0.87958425931555,0.379192836975857,-0.0124836202178435,0.00475302751087473
8,"C7_std",-0.0031419610555346,0.00472370733688075,-0.665147273414564,0.506034878451335,-0.0124060015452096,0.00612207943414042
8,"C8_std",0.0154966795873962,0.016216718760934,0.955598960298159,0.339393213836636,-0.0163072253747113,0.0473005845495037
8,"C9_std",0.00432451975587076,0.0038038936197138,1.13686663934522,0.255733579842901,-0.00313560044173554,0.0117846399534771
