"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","doc_id"
5.60636301939619e-05,0.0111167477863994,0.00192962275436213,0.344207739186884,2.27960145356361e-05,0.00242092399269973,0.446687862469212,4.92006125478886e-05,0.00186608177264411,0.000322499688998257,0.00173032086435053,0.189590141227172,73
0.100494060470882,0.0812214927422835,0.00664775471019459,0.0033002806545584,0.0332187787066364,0.00193802340603006,0.00198531744429967,0.0114836946463752,0.51489409561635,0.129658952550303,0.106236898852167,0.00892065019992102,5902
0.0094367471161614,0.00601474465243885,0.0715806535942831,0.147796282261165,0.156430165488891,0.00195702649550363,0.049526609754971,0.00257092270674716,0.132010748958371,0.411827513486836,0.0032797673277964,0.00756881815683657,553
0.644420475958764,0.000248535560275714,0.00220913195806516,0.000722472421093377,0.0096208388091928,0.000232406481803928,0.000170530695991678,0.00302847413712365,0.00347198195357604,0.33173188828137,0.00260751003938241,0.00153575370336143,345
0.508171433789342,0.00382715957495107,0.00697943092941645,0.00403429064368902,0.217234835409168,0.0162138969711564,0.0444999774926319,0.0161782623335122,0.0205248032519141,0.0658062746925753,0.0911354825676983,0.00539415234394565,310
0.0390315975721421,0.0012186295489862,0.0056043766238795,0.00203269006191104,0.0200057543907778,0.00111494238174533,0.00256046795260846,0.00232388185514007,0.919374864530497,0.00187173224311208,0.00339983885218137,0.00146122398701905,2947
0.00465558468189084,0.0823113189501526,0.00812080241545954,0.276962284403026,0.0187110412035885,0.121585511475901,0.00463392729472145,0.000950755161554932,0.00411540830015019,0.0032865044111367,0.469234908216482,0.00543195348593609,2011
0.000248417082718667,0.0205681015804847,0.0134584464353789,0.218361214542007,0.000100199968968384,0.112680841989555,0.414982484954404,0.000721379370453532,0.0971571339174185,0.000823561179835426,0.00500363359204644,0.11589458538673,5763
7.94594211304396e-06,0.00355558507110699,0.000320448150835833,0.962607886470458,1.00872737102263e-05,0.00235735545202846,0.00243151183724717,2.84785523350655e-05,0.00301410952865846,0.000261227033758531,0.0246679770745934,0.000737387613155198,620
0.0955108882640964,0.000226175322585949,0.368155425358397,0.000179462136684301,0.00318525757207057,0.000800664183723977,0.00161553553580037,0.516211318027658,0.00600815527758532,0.00676547971039388,0.000763986812369749,0.000577651798634487,4639
0.59373297155388,0.00133015994395559,0.0195545926656411,0.00115689240131567,0.111085335503644,0.00110303344073644,0.00123555592763592,0.00591001923571906,0.0148447024202422,0.226027130142146,0.0154375177761942,0.00858208898889006,3896
0.0149952504117402,0.196268768198803,0.00289505949567003,0.554032264344668,0.0031727387506349,0.0198367327920127,0.0112908008050549,0.000965892423930669,0.00850868793778679,0.00463393546872555,0.041674795730009,0.141725073640964,977
0.00550526408869497,0.00646828789695305,0.0812515350887575,0.0814424928958497,0.00152599462222267,0.0124645589764085,0.177694614046344,0.447793948161822,0.119223743209926,0.00524159743288075,0.0042973770775686,0.0570905865025726,5879
0.511186057664897,0.000587127986004886,0.00238962860976679,0.000565640588508608,0.0143082570092088,0.00175068338058499,0.00162157599927016,0.251520389644887,0.00263249402384055,0.00539642022777287,0.00284258135750772,0.20519914350775,3817
0.479571363592449,0.000182129095625597,0.00783857586400178,1.74602099782713e-05,0.412568842495475,0.000296378906985222,0.000106506582490873,0.0910038895405041,0.00253252634781383,0.00322505994345116,0.00180845738562637,0.000848810035598911,5568
0.000371477965843543,0.0906111839593428,0.00329702732659068,0.0246015212828814,0.000359810205065791,0.287204925149412,0.0357068495545977,0.000257333913453145,0.00164197107817744,0.00052413241516302,0.549845730579063,0.00557803657040885,3291
0.00276814889455211,0.00441119064122615,0.00288904175731959,0.00476172021800808,0.00118143549587334,0.00273252436127028,0.0041816078122955,0.959465884900424,0.00720729449617758,0.00446529192215101,0.0057062889089796,0.000229570591723786,4527
0.0109854546382753,0.00324960836431436,0.0108671449351456,0.00828180136030746,0.00218458874763165,0.415591062197414,0.044196263743887,0.0141776401181001,0.00239747671647541,0.473351580397374,0.0021474142288779,0.0125699645521972,4040
0.00422173232034363,0.0151253901215038,0.00596980494063558,0.0193624001890195,0.00230328606028722,0.00544443958084417,0.00338780021216755,0.111100408489376,0.00287920941642087,0.824166489044419,0.00207913081889712,0.003959908806085,1877
0.231378348090838,0.000621159653363,0.00312231341556841,0.000784375713061064,0.444605387435322,0.000303895963245143,0.000421695568793027,0.00925677383170174,0.00218709323558057,0.304211806084736,0.00218140224151815,0.000925748766272471,1590
0.771640589659509,0.000850053804408014,0.118931218822274,0.000835164677833783,0.0868855461566312,0.000651763867213298,0.00198424931290642,0.00204280913425588,0.0082670145722961,0.00298668843731141,0.00261154044575558,0.00231336110960512,2192
0.018513206302089,0.0099469011676211,0.0287920239413979,0.00302892358833626,0.00145115132473591,0.00318435579766864,0.780778843137391,0.00107421961492518,0.12309201423297,0.00123147551036971,0.0034830126152919,0.0254238727672042,3074
0.486163844956634,0.000112335917673436,0.412546183032385,9.31916782296094e-05,0.00430104853314443,0.000587785833040513,0.00202940753270022,0.0828667412967372,0.00395967501959071,0.00577871917316659,0.000535500929935768,0.00102556609676246,4113
0.000136706440045635,0.00259482653640326,0.00210791668081736,0.00699866912966082,2.51469019955795e-05,0.00131308329531499,0.978097893751175,0.000128243713541539,0.00592795834473499,0.000128299707141231,0.000515185823930512,0.00202606967523851,2500
0.068969844108993,0.077431008760762,0.0143920104566029,0.000548606016968059,0.742249534113453,0.00092121601240443,0.000543102649211507,0.0286276760586326,0.0188465280315507,0.0411829545617698,0.00520161473284112,0.00108590449681082,4553
0.0353730484293421,0.00620835795159913,0.0434950861109683,0.0915160941452034,0.00120059455680207,0.0477656638329349,0.421484511301671,0.049994624338513,0.0464024429377478,0.020797969436494,0.00277026196116791,0.232991344997557,4742
