bertopic_id,bertopic_name,safety_score,safety_category,decay_probability,trend_direction,current_state_name,lifecycle_stage,tmi,fit_reliable,bertopic_count,dim_safety,dim_temporal_decay,dim_lifecycle_risk,cascade_score,risk_level,variant
39,39_picking_mechanism_device_cake,0,not_safety,0.5000000000000002,declining,declining,saturated,0.0,True,40,0.0,0.5000000000000002,0.6,0.0,NON_SAFETY,full_2026_raw
40,40_wheel_leg_wheel leg_wheel legged,3,stability_balance,0.01,growing,growing,mature,0.0,True,28,0.6,0.01,0.35,0.020999999999999998,MEDIUM,full_2026_raw
41,41_image_detection_human_human shape,0,not_safety,0.9090903950339395,declining,declining,mature,0.015,True,35,0.0,0.9090903950339395,0.35,0.0,NON_SAFETY,full_2026_raw
42,42_service_user_information_module,0,not_safety,0.0,declining,declining,saturated,0.2041,True,40,0.0,0.0,0.6,0.0,NON_SAFETY,full_2026_raw
43,43_monitoring_image_camera_area,1,thermal_management,0.8888888888888896,declining,declining,mature,0.3142,True,35,0.2,0.8888888888888896,0.35,0.6222222222222227,NON_SAFETY,full_2026_raw
44,44_control_module_communication_humanoid robot,1,fail_safe_emergency,0.0006131554083561333,declining,declining,growing,0.2147,True,35,0.2,0.0006131554083561333,0.1,0.00012263108167122667,NON_SAFETY,full_2026_raw
45,45_legged robot_legged_desired trajectory_trajectory,0,not_safety,0.01,growing,growing,saturated,0.0,True,19,0.0,0.01,0.6,0.0,NON_SAFETY,full_2026_raw
46,46_module_signal_household_internet things,0,not_safety,1.6366267519173742e-289,declining,declining,mature,0.353,True,38,0.0,1.6366267519173742e-289,0.35,0.0,NON_SAFETY,full_2026_raw
47,47_fault_health_state_data,4,fault_detection,0.01,mature,mature,growing,0.2557,True,24,0.8,0.01,0.1,0.008,LOW,full_2026_raw
48,48_rehabilitation_exoskeleton_training_module,0,not_safety,0.01,growing,growing,growing,0.1948,True,31,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
49,49_circuit_power_battery_supply,0,not_safety,0.01,growing,growing,growing,0.2155,True,31,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
50,50_image_detection_monitoring_human,0,not_safety,0.9285714285713648,declining,declining,saturated,0.0,True,30,0.0,0.9285714285713648,0.6,0.0,NON_SAFETY,full_2026_raw
51,51_pedestrian_video_target_image,0,not_safety,0.7999999999999796,declining,declining,declining,0.1212,True,28,0.0,0.7999999999999796,1.0,0.0,NON_SAFETY,full_2026_raw
52,52_dog_robot dog_box_shaped cover,1,stability_balance,2.8541211149182082e-98,declining,declining,mature,0.0,True,31,0.2,2.8541211149182082e-98,0.35,1.9978847804427455e-98,NON_SAFETY,full_2026_raw
53,53_image_detection_human_target,1,stability_balance,0.909090909090909,declining,declining,saturated,0.0,True,29,0.2,0.909090909090909,0.6,1.0909090909090906,NON_SAFETY,full_2026_raw
54,54_unmanned_aerial_unmanned aerial_unmanned boat,0,not_safety,0.7272727272730406,declining,declining,mature,0.2524,True,28,0.0,0.7272727272730406,0.35,0.0,NON_SAFETY,full_2026_raw
55,55_respective object_respective_self location_object,0,not_safety,0.01,growing,growing,declining,0.0,True,8,0.0,0.01,1.0,0.0,NON_SAFETY,full_2026_raw
56,56_information pairs_pairs_ml_spatial,0,not_safety,0.7999995461228582,declining,declining,mature,0.0,True,13,0.0,0.7999995461228582,0.35,0.0,NON_SAFETY,full_2026_raw
57,57_strategy_training_network_strategy network,0,not_safety,0.01,growing,mature,growing,0.058,True,24,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
58,58_stimuli_events_allows_end effector,0,not_safety,0.01,growing,growing,saturated,0.0,True,5,0.0,0.01,0.6,0.0,NON_SAFETY,full_2026_raw
59,59_breathing_mask_experiment_respirator,0,not_safety,0.01,growing,emerging,saturated,0.108,True,25,0.0,0.01,0.6,0.0,NON_SAFETY,full_2026_raw
60,60_target_rescue_aid_extinguishing,0,not_safety,0.0,declining,declining,growing,0.2452,True,19,0.0,0.0,0.1,0.0,NON_SAFETY,full_2026_raw
61,61_food_food weight_weight_feeder,0,not_safety,0.0,declining,declining,mature,0.2862,True,26,0.0,0.0,0.35,0.0,NON_SAFETY,full_2026_raw
62,62_electrode_measurement electrode_108_elements,3,collision_protection,8.875215248611545e-41,declining,declining,mature,0.0913,True,9,0.6,8.875215248611545e-41,0.35,1.8637952022084245e-40,LOW,full_2026_raw
63,63_primitives_minimanipulations_actions_movements,0,not_safety,0.01,growing,growing,declining,0.1681,True,9,0.0,0.01,1.0,0.0,NON_SAFETY,full_2026_raw
64,64_charging_wireless_wireless electromagnetic_electromagnetic,1,thermal_management,8.48859364423515e-23,declining,declining,mature,0.2502,True,24,0.2,8.48859364423515e-23,0.35,5.942015550964605e-23,NON_SAFETY,full_2026_raw
65,65_social_reasoning_instruction_remote,4,safe_control,0.01,growing,mature,growing,0.1141,True,22,0.8,0.01,0.1,0.008,LOW,full_2026_raw
66,66_magnetic_powder_material_adhesive,0,not_safety,0.01,growing,mature,growing,0.1836,True,24,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
67,67_dance_music_playing_piano,0,not_safety,0.01,growing,mature,growing,0.2792,True,21,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
68,68_animation_bone_skeleton_digital,0,not_safety,0.01,growing,growing,growing,0.2037,True,16,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
69,69_embodiments_agricultural_various embodiments_interfaces,0,not_safety,0.01,growing,growing,saturated,0.1706,True,17,0.0,0.01,0.6,0.0,NON_SAFETY,full_2026_raw
70,70_elevator_main elevator_floor_secondary elevator,0,not_safety,0.5711417366342053,declining,declining,mature,0.3536,True,23,0.0,0.5711417366342053,0.35,0.0,NON_SAFETY,full_2026_raw
71,71_moving_double mechanical_mechanical_double,1,force_control,0.8571428571428571,declining,declining,growing,0.1446,True,22,0.2,0.8571428571428571,0.1,0.17142857142857143,NON_SAFETY,full_2026_raw
72,72_cleaning_mechanism_chassis_cleaning mechanism,0,not_safety,0.01,growing,growing,mature,0.2989,True,22,0.0,0.01,0.35,0.0,NON_SAFETY,full_2026_raw
73,73_power_supply_power supply_battery,1,stability_balance,0.8750000000000004,declining,declining,mature,0.2477,True,18,0.2,0.8750000000000004,0.35,0.6125000000000003,NON_SAFETY,full_2026_raw
74,74_target_foot_state data_landing,2,stability_balance,0.01,growing,growing,declining,0.0,True,13,0.4,0.01,1.0,0.04,MEDIUM,full_2026_raw
75,75_chair_group_handle_movable,0,not_safety,0.01,nascent,nascent,declining,0.3649,True,19,0.0,0.01,1.0,0.0,NON_SAFETY,full_2026_raw
76,76_elements_elements articulation_articulation_given,4,force_control,0.01,growing,growing,saturated,0.0,True,5,0.8,0.01,0.6,0.048,MEDIUM,full_2026_raw
0,0_leg_end_wheel_connected,2,stability_balance,0.01,growing,growing,mature,0.2555,True,516,0.4,0.01,0.35,0.013999999999999999,LOW,cut_2025
1,1_humanoid robot_humanoid_joint_robot,2,safe_control,0.01,mature,mature,growing,0.1934,True,252,0.4,0.01,0.1,0.004,LOW,cut_2025
2,2_voice_user_emotion_expression,0,not_safety,0.01,mature,mature,mature,0.3319,True,240,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
3,3_foot_robot_foot robot_leg,2,stability_balance,0.01,mature,mature,growing,0.1408,True,157,0.4,0.01,0.1,0.004,LOW,cut_2025
4,4_finger_thumb_palm_knuckle,0,not_safety,0.01,growing,mature,mature,0.4427,True,148,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
5,5_learning_training_strategy_network,1,not_safety,0.01,mature,mature,growing,0.0,True,116,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2025
6,6_network_learning_foot_strategy,0,not_safety,0.01,growing,mature,growing,0.0,True,113,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
7,7_vehicle_lane_driving_lane changing,2,collision_protection,0.01,mature,mature,mature,0.0894,True,123,0.4,0.01,0.35,0.013999999999999999,LOW,cut_2025
8,8_patient_medical_device_user,1,fault_detection,0.01,mature,mature,mature,0.2578,True,126,0.2,0.01,0.35,0.006999999999999999,NON_SAFETY,cut_2025
9,9_hip_thigh_joint_second,0,not_safety,0.01,mature,mature,growing,0.0606,True,112,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
10,10_grabbing_hand_task_humanoid,0,not_safety,0.01,growing,mature,growing,0.114,True,89,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
11,11_toy_left_doll_game,0,not_safety,0.01,growing,growing,saturated,0.356,True,86,0.0,0.01,0.6,0.0,NON_SAFETY,cut_2025
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,0.01,growing,mature,growing,0.1641,True,81,0.4,0.01,0.1,0.004,LOW,cut_2025
13,13_connecting_shell_piece_second,0,not_safety,0.01,growing,mature,growing,0.1271,True,86,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
14,14_training_target_target body_plate,0,not_safety,0.6666665984976126,declining,declining,mature,0.2304,True,86,0.0,0.6666665984976126,0.35,0.0,NON_SAFETY,cut_2025
15,15_point_point cloud_cloud_map,2,safe_control,0.01,mature,mature,growing,0.0681,True,68,0.4,0.01,0.1,0.004,LOW,cut_2025
16,16_test_testing_plate_device,1,stability_balance,0.01,mature,mature,growing,0.1454,True,63,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2025
17,17_data_task_semantic_humanoid robot,0,not_safety,0.01,growing,mature,growing,0.0256,True,58,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
18,18_plate_bridge_ladder_rod,1,stability_balance,0.01,growing,mature,saturated,0.1246,True,83,0.2,0.01,0.6,0.012,NON_SAFETY,cut_2025
19,19_joint_wrist_connecting_knee joint,0,not_safety,0.01,mature,mature,growing,0.2109,True,61,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
20,20_layer_skin_textile_bionic,0,not_safety,0.01,mature,mature,mature,0.3352,True,58,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
21,21_decision_semantic information_semantic_information,0,not_safety,0.01,growing,mature,growing,0.1264,True,57,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
22,22_force_external force_human robot_robot,5,collision_protection,0.7777777777777771,declining,declining,saturated,0.3496,True,47,1.0,0.7777777777777771,0.6,4.6666666666666625,HIGH,cut_2025
23,23_image_vehicle_images_camera,0,not_safety,3.480998000275122e-230,declining,declining,mature,0.4334,True,63,0.0,3.480998000275122e-230,0.35,0.0,NON_SAFETY,cut_2025
24,24_massage_mi_bed_mi mi,0,not_safety,0.01,growing,growing,saturated,0.2511,True,72,0.0,0.01,0.6,0.0,NON_SAFETY,cut_2025
25,25_industrial robot_industrial_tool_work,4,risk_assessment,0.7272727272741281,declining,declining,declining,0.1026,True,38,0.8,0.7272727272741281,1.0,5.8181818181930245,HIGH,cut_2025
26,26_face_image_video_frame,0,not_safety,0.01,growing,mature,growing,0.2833,True,54,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
27,27_path_navigation_obstacle_point,3,safe_control,0.01,growing,growing,growing,0.051,True,48,0.6,0.01,0.1,0.006,LOW,cut_2025
28,28_tobacco_robotic_operation_shelf,2,safe_control,0.01,mature,mature,growing,0.1093,True,48,0.4,0.01,0.1,0.004,LOW,cut_2025
29,29_module_intelligent_service_display,3,collision_protection,0.01,growing,growing,mature,0.2401,True,55,0.6,0.01,0.35,0.020999999999999998,MEDIUM,cut_2025
30,30_inspection_detection_disease_tunnel,1,thermal_management,0.01,mature,mature,growing,0.0177,True,44,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2025
31,31_lamp_light_display_led,0,not_safety,1.6189330668634278e-16,declining,declining,saturated,0.2589,True,54,0.0,1.6189330668634278e-16,0.6,0.0,NON_SAFETY,cut_2025
32,32_action_data_sequence_motion,2,safe_control,0.01,growing,mature,growing,0.0,True,30,0.4,0.01,0.1,0.004,LOW,cut_2025
33,33_path_grid_map_point,2,collision_protection,0.01,mature,mature,growing,0.0,True,34,0.4,0.01,0.1,0.004,LOW,cut_2025
34,34_commands_position sensor_position velocity_velocity,0,not_safety,0.01,growing,growing,declining,0.0,True,10,0.0,0.01,1.0,0.0,NON_SAFETY,cut_2025
35,35_image_chess_point cloud_cloud,0,not_safety,0.01,mature,mature,growing,0.0805,True,32,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
36,36_welding_welding robot_straightening_mechanical,0,not_safety,0.01,growing,mature,growing,0.0214,True,39,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
