"doc_id","dominant_topic","max_prob"
2867,4,0.915823151178023
2870,7,0.466356128662199
2872,4,0.778728605244405
2873,9,0.299370935820705
2876,5,0.521007666382881
2885,7,0.49114825224788
2886,4,0.5743524242752
2891,7,0.848531219573641
2892,4,0.437140903948443
2894,7,0.689324535554865
2896,2,0.367947932162976
2897,3,0.378809265321251
2901,4,0.661448764162491
2907,3,0.486945752467286
2909,4,0.376628916235675
2919,6,0.454444616857116
2921,4,0.755252472980112
2922,6,0.632495355165341
2924,4,0.355010603232171
2932,6,0.565818101108773
2934,4,0.57781542623347
2937,5,0.878317899863574
2940,7,0.479794534174701
2942,4,0.761778570631499
2945,2,0.736335353069838
2948,4,0.808981895639126
2952,9,0.554442450760792
2953,2,0.324697886217006
2954,12,0.865389641265682
2956,4,0.725419247152552
2957,4,0.865229555181201
2959,5,0.815987405749312
2963,7,0.472544620090955
2964,2,0.569806486945379
2969,7,0.79333598886672
2970,4,0.54859448767333
2974,5,0.431845140534288
2975,10,0.815741444694138
2976,3,0.588609643495969
2978,2,0.764781864807611
2979,4,0.917858138851596
2981,7,0.511213415669137
2982,4,0.806345260525589
2987,6,0.43378522603124
2991,5,0.597169796118719
2992,3,0.590227064107101
2996,4,0.737680048537856
2997,12,0.298354766838002
2999,8,0.627546894945409
3001,4,0.480501326396008
3002,4,0.856096640676129
3006,2,0.495650797541216
3015,4,0.484553853278077
3016,7,0.70639156470179
3021,10,0.851666978439984
3023,10,0.644774134616336
3027,4,0.471930355960207
3028,2,0.694594719877225
3031,7,0.440555955720734
3033,10,0.476246902369631
3036,9,0.32113548501113
3038,12,0.436877431032414
3040,4,0.775906536104502
3041,6,0.702598913465007
3044,6,0.325131749966809
3046,9,0.319812244901832
3047,8,0.524454105379937
3048,2,0.466273181426419
3051,9,0.398249564340491
3052,8,0.514462282876237
3053,5,0.715092626603438
3054,2,0.822400029352776
3059,5,0.919569846551266
3061,10,0.815741444694138
3069,5,0.53544194004288
3070,4,0.803038510768364
3071,3,0.795388896807435
3073,10,0.25791140804756
3075,5,0.324959795922344
3079,10,0.830683908799549
3080,10,0.622966680970932
3083,2,0.39410986525067
3086,5,0.48558940831939
3088,7,0.463140352088415
3096,10,0.30609570092957
3099,4,0.733647379272038
3100,3,0.348594647042192
3102,6,0.612641770556446
3103,6,0.419602681186337
3107,2,0.571584079783627
3112,7,0.631593383815989
3114,10,0.337433884716483
3116,5,0.756233265677359
3117,10,0.709724337163081
3119,7,0.412670754992406
3120,5,0.499258924261799
3122,9,0.283517381696742
3127,12,0.26525211075573
3130,10,0.508526855410457
3136,3,0.4166831992425
3137,5,0.353384053851102
3138,4,0.305795666651266
3145,6,0.680405612947831
3151,5,0.971154658415488
3156,5,0.550156678462027
3164,6,0.35643891464615
3169,10,0.462976823009299
3171,7,0.547683160031344
3177,9,0.419575445803744
3178,9,0.748737059008672
3182,9,0.474482607988929
3184,2,0.609282226859656
3188,2,0.398576067945216
3192,10,0.47180945249575
3196,6,0.467424587906952
3198,10,0.61820261576203
3200,10,0.536557835268156
3203,1,0.595769515724154
3212,9,0.539345693017093
3215,5,0.47928344453422
3220,7,0.596829019844889
3222,4,0.650536229161372
3227,12,0.360283898667499
3229,5,0.377993979607919
3232,7,0.582544534218719
3235,6,0.531148734375403
3239,2,0.530673925024579
3240,11,0.469163223530411
3243,11,0.469163223530411
3244,12,0.308233401683195
3246,4,0.772665224435524
3247,10,0.768279654428783
3250,7,0.652979450192396
3257,3,0.553684836666403
3263,3,0.388330605323224
3266,10,0.361620539577299
3268,2,0.409945938329806
3271,4,0.608404506412868
3272,3,0.700220555914791
3273,11,0.538063012843903
3274,3,0.258777091018877
3280,10,0.514855044745508
3288,3,0.345050112676243
3293,5,0.549776064792138
3295,5,0.80016677921669
3301,6,0.509077382949181
3314,10,0.306066761324082
3315,8,0.696476607105876
3316,3,0.550065267176238
3323,2,0.32201165457254
3333,10,0.598280917016441
3339,8,0.340238616513792
3345,2,0.791048791019124
3349,8,0.618943954492416
3350,8,0.426096509894519
3351,2,0.451392377668634
